"GPA","High School Math","High School Science","High School English","SAT Math","SAT Verbal","Gender"
3.32,10,10,10,670,600,1
2.26,6,8,5,700,640,1
2.35,8,6,8,640,530,1
2.08,9,10,7,670,600,1
3.38,8,9,8,540,580,1
3.29,10,8,8,760,630,1
3.21,8,8,7,600,400,1
2,3,7,6,460,530,1
3.18,9,10,8,670,450,1
2.34,7,7,6,570,480,1
3.08,9,10,6,491,488,1
3.34,5,9,7,600,600,1
1.4,6,8,8,510,530,1
1.43,10,9,9,750,610,1
2.48,8,9,6,650,460,1
3.73,10,10,9,720,630,1
3.8,10,10,9,760,500,1
4,9,9,8,800,610,1
2,9,6,5,640,670,1
3.74,9,10,9,750,700,1
2.32,9,7,8,520,440,1
2.79,8,8,7,610,530,1
3.21,7,9,8,505,435,1
3.08,9,10,8,559,607,1
3.75,10,9,9,760,620,1
3.16,10,9,8,640,490,1
2.73,9,8,7,520,360,1
3.06,8,10,10,580,460,1
1.07,7,8,6,700,520,1
3.35,10,10,10,620,570,1
1.82,6,8,6,490,550,1
3.12,10,10,7,640,520,1
2.25,9,7,4,550,290,1
2.93,10,10,10,600,520,1
3.16,9,7,7,400,390,1
2.83,10,9,9,710,530,1
3.1,9,10,9,750,670,1
3.07,7,4,7,660,480,1
2.87,9,9,9,620,480,1
3.61,10,10,9,630,440,1
2.17,10,7,7,650,450,1
1.95,7,8,9,550,570,1
3.35,10,10,10,730,650,1
3.58,10,7,8,710,400,1
2.75,10,7,5,770,720,1
3.26,10,10,9,610,560,1
3.41,9,4,7,600,360,1
3.67,10,10,10,640,570,1
3.81,10,10,7,750,540,1
3.3,10,10,9,650,480,1
2.3,9,10,10,590,420,1
3.62,10,10,8,660,630,1
3.2,9,5,7,570,570,1
2.55,7,8,8,570,480,1
2.82,10,9,9,660,550,1
3.25,9,7,8,690,550,1
2.21,7,7,8,670,500,1
2.5,10,9,9,660,460,1
3.03,8,8,7,600,630,1
1.92,9,10,8,447,320,1
4,7,6,6,600,410,1
1.81,9,9,9,620,580,1
2.7,6,8,6,580,470,1
2.96,9,7,8,630,630,1
2.76,10,10,10,600,560,1
2.71,8,7,9,700,440,1
3.4,9,10,9,550,560,1
2.65,8,10,8,680,450,1
2.48,8,8,7,630,500,1
3.86,10,10,10,750,760,1
2.62,9,8,7,491,391,1
3.72,7,8,7,550,500,1
3.5,8,7,8,630,500,1
2.83,6,7,7,690,440,1
3.06,8,6,5,540,400,1
4,9,10,10,640,480,1
3.7,8,10,8,520,410,1
2.81,9,7,4,559,488,1
1.93,8,6,8,590,510,1
3.7,10,10,10,580,580,1
2.96,9,7,6,670,440,1
2.64,9,9,8,620,590,1
3.09,10,10,8,540,470,1
3,4,3,4,620,560,1
2.97,10,10,10,770,540,1
2.81,10,10,10,620,570,1
3.32,10,9,10,660,560,1
3.4,7,8,4,710,500,1
1.84,9,6,6,610,390,1
0.4,6,6,7,560,690,1
2.88,9,7,6,690,460,1
2.77,6,5,9,590,440,1
2.26,5,7,7,530,440,1
2.03,6,7,9,540,610,1
2.43,7,10,10,530,560,1
2.63,10,10,6,640,500,1
1.66,8,4,3,590,470,1
3.41,9,9,9,520,490,1
2.12,7,7,8,559,545,1
3.33,7,6,7,500,460,1
1.69,8,7,7,490,390,1
2.46,6,7,7,490,370,1
1.59,8,9,7,670,480,1
1.14,10,10,7,720,610,1
0.65,9,7,7,640,520,1
2.12,7,6,7,520,380,1
2.82,4,5,7,400,470,1
2.34,8,9,7,480,410,1
2.11,6,9,9,480,390,1
1.34,6,7,8,530,470,1
2.53,8,9,8,550,500,1
2.75,10,10,10,720,500,1
3.14,9,8,9,640,630,1
2.25,10,10,10,690,580,1
1,8,9,10,640,600,1
2.79,9,6,7,690,400,1
2.39,6,5,6,470,330,1
2.15,6,6,6,480,460,1
0.75,7,6,6,540,590,1
3.06,5,9,9,510,380,1
2.5,9,9,9,560,500,1
2.78,9,9,10,600,510,1
2.44,8,8,8,690,490,1
1.11,7,7,7,590,480,1
3.12,10,10,10,580,340,1
2.17,8,7,8,650,500,1
0.12,4,6,6,630,490,1
2,6,5,6,530,320,1
3.22,9,7,9,650,490,1
1.88,10,6,6,620,430,1
2.04,8,7,7,690,440,1
2.58,10,9,9,720,740,1
2.16,6,6,6,590,440,1
2.5,7,10,10,630,500,1
1.85,10,8,7,700,480,1
1.46,7,7,8,630,540,1
2.95,9,9,8,620,400,1
0.8,8,10,9,470,410,1
0.91,6,5,7,586,697,1
2.67,9,9,10,586,670,1
2.51,9,8,7,700,500,1
1.79,7,7,5,550,570,1
2.42,6,6,8,505,518,1
0.58,5,7,7,515,285,1
3,10,10,9,774,688,1
2.76,10,10,10,570,570,0
3.35,9,9,9,580,540,0
3.8,10,9,8,560,530,0
2.38,9,9,10,650,570,0
2.58,10,10,9,440,430,0
3.18,10,10,10,570,750,0
2.87,8,8,7,476,576,0
3.16,8,9,8,680,700,0
3.07,9,8,9,490,480,0
3.68,10,8,9,590,490,0
3.34,10,9,10,590,580,0
1.93,10,8,8,650,490,0
2.43,9,5,9,480,520,0
3.28,10,10,10,670,490,0
3.66,10,10,10,710,600,0
2.29,7,6,8,570,570,0
2.19,6,5,6,540,460,0
3.06,10,10,10,620,510,0
3.41,8,6,8,630,470,0
3.14,9,9,10,630,700,0
2.85,10,8,8,610,460,0
3.47,10,10,9,720,680,0
3.44,10,10,9,640,590,0
3.9,10,10,10,650,500,0
3.65,9,9,9,640,430,0
1.32,9,8,9,740,460,0
3.23,10,10,10,600,660,0
2.86,10,9,10,650,430,0
2.51,8,9,10,510,440,0
2.86,8,9,8,550,510,0
3.34,10,9,9,570,530,0
3.33,9,7,9,630,560,0
3.69,10,10,8,710,470,0
1.8,7,7,7,620,470,0
2.57,9,10,10,417,518,0
2.28,8,10,10,600,600,0
1.6,4,7,7,460,460,0
2,2,4,6,300,290,0
1.69,7,6,7,560,480,0
3.06,9,10,9,590,420,0
2.75,8,9,8,559,435,0
2.62,9,10,8,550,440,0
0.39,7,10,9,550,660,0
2.44,10,9,9,650,350,0
3.46,9,9,8,610,520,0
2.37,8,7,9,530,480,0
1.25,7,8,6,480,360,0
2.8,10,9,9,550,450,0
2.14,5,4,8,560,420,0
2.45,7,7,8,430,330,0
2.71,9,7,10,490,400,0
2.59,10,10,10,590,470,0
2.93,9,9,10,690,510,0
2.53,7,6,9,570,480,0
1.95,6,6,9,550,600,0
3.39,9,9,10,510,570,0
2.69,8,6,9,470,420,0
1.94,8,8,8,470,330,0
3,10,8,9,510,360,0
2.09,9,7,8,450,460,0
1.85,10,8,10,530,550,0
3.34,10,9,10,490,410,0
2.25,6,9,10,530,510,0
4,10,10,10,580,490,0
2.72,6,5,7,580,490,0
2.61,9,7,8,620,420,0
2.32,6,6,7,430,460,0
3.39,10,10,10,500,390,0
3.64,8,6,8,590,580,0
1.8,8,7,9,620,600,0
1.52,9,9,10,520,570,0
3.4,6,9,9,480,480,0
2.86,9,4,8,640,470,0
3.32,10,9,10,640,560,0
2.07,9,7,6,600,440,0
0.85,7,7,9,510,480,0
1.86,7,9,7,356,350,0
2.59,5,4,7,630,470,0
2.28,9,8,9,559,488,0
