cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,static_isi.started,static_isi.stopped,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_background.stopped,dots_stimulus.started,dots_stimulus.stopped,dots_keyboard_response.keys,dots_keyboard_response.started,dots_keyboard_response.stopped,feedback_text.started,feedback_text.stopped,dots_keyboard_response.rt,instruction_main_text.started,instruction_main_text.stopped,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,instruction_main_keyboard_response.started,instruction_main_keyboard_response.stopped,Pseudonym,date,expName,psychopyVersion,frameRate
right,right,,,,,0,75,75,19,0.032002192,2.032002192,776.0813367,None,776.1824307,None,777.2158645,None,782.2192182,None,782.2192182,None,j,782.2192182,None,782.8530417,None,0.585763746,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,0,76,76,67,0.032011345,2.032011345,785.3522448,None,785.7196587,None,786.7532806,None,791.2572954,None,791.2572954,None,j,791.2572954,None,791.8904915,None,0.577247656,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,0,77,77,78,0.031912339,2.031912339,794.3902979,None,795.5909701,None,796.624374,None,801.132522,None,801.132522,None,j,801.132522,None,801.9472416,None,0.757285575,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,0,78,78,71,0.03226281,2.03226281,804.4462415,None,805.2785145,None,806.2803152,None,809.6862516,None,809.6862516,None,j,809.6862516,None,810.699213,None,0.950872981,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,0,79,79,22,0.032110654,2.032110654,813.1669207,None,814.3696992,None,815.4013909,None,818.8075277,None,818.8075277,None,j,818.8075277,None,819.4187321,None,0.564356212,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,1,0,80,6,0.031733207,2.031733207,821.8864442,None,823.0879432,None,824.0889234,None,828.595483,None,828.595483,None,f,828.595483,None,829.1578625,None,0.501818205,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,1,1,81,11,0.032484661,2.032484661,831.6256491,None,832.8282526,None,833.8599752,None,838.366672,None,838.366672,None,f,838.366672,None,839.0845346,None,0.657501206,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,1,2,82,63,0.032133777,2.032133777,841.580394,None,842.3803079,None,843.3811321,None,846.7874291,None,846.7874291,None,j,846.7874291,None,847.7033763,None,0.874651038,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,1,3,83,43,0.031492333,2.031492333,850.2013889,None,851.0016298,None,852.0019955,None,856.5089085,None,856.5089085,None,f,856.5089085,None,857.308089,None,0.746150869,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,1,4,84,44,0.03197517,2.03197517,859.8042453,None,860.1713581,None,861.2052088,None,866.2134222,None,866.2134222,None,f,866.2134222,None,866.9923074,None,0.696289769,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,1,5,85,65,0.032123931,2.032123931,869.4601984,None,869.5620945,None,870.5934657,None,874.0003553,None,874.0003553,None,j,874.0003553,None,875.3312017,None,1.261251569,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,1,6,86,20,0.032117814,2.032117814,877.8311155,None,877.9333892,None,878.9648632,None,882.3707025,None,882.3707025,None,j,882.3707025,None,883.3824076,None,0.950927864,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,1,7,87,72,0.032261174,2.032261174,885.8507741,None,886.6512831,None,887.6513167,None,891.6581232,None,891.6581232,None,f,891.6581232,None,892.6711815,None,0.965323105,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,1,8,88,29,0.031975502,2.031975502,895.138799,None,895.2405536,None,896.2724987,None,901.279356,None,901.279356,None,j,901.279356,None,901.9262462,None,0.581419164,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,1,9,89,71,0.031915549,2.031915549,904.3930622,None,904.4935346,None,905.4939727,None,910.5003714,None,910.5003714,None,j,910.5003714,None,911.2132861,None,0.669027643,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,1,10,90,48,0.032245491,2.032245491,913.6810823,None,914.0484285,None,915.0816098,None,919.0864137,None,919.0864137,None,f,919.0864137,None,920.1005631,None,0.966252737,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,1,11,91,16,0.032031348,2.032031348,922.5681856,None,922.9371916,None,923.9688595,None,927.9757175,None,927.9757175,None,j,927.9757175,None,928.7036561,None,0.688408265,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,1,12,92,79,0.032060405,2.032060405,931.1722471,None,931.5414513,None,932.539929,None,937.5457177,None,937.5457177,None,f,937.5457177,None,938.4275125,None,0.838164515,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,1,13,93,76,0.032472322,2.032472322,940.9267456,None,941.0272382,None,942.0272314,None,946.5310182,None,946.5310182,None,j,946.5310182,None,947.1961756,None,0.615199235,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,1,14,94,15,0.032473415,2.032473415,949.6648047,None,950.8666312,None,951.8990524,None,956.4045486,None,956.4045486,None,f,956.4045486,None,956.9879534,None,0.542619458,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,1,15,95,68,0.031666224,2.031666224,959.4857498,None,960.2852964,None,961.2871167,None,965.2917527,None,965.2917527,None,j,965.2917527,None,966.0226599,None,0.693327013,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,1,16,96,74,0.032389348,2.032389348,968.4899611,None,968.5901725,None,969.6246435,None,973.6299679,None,973.6299679,None,j,973.6299679,None,974.4769087,None,0.803105392,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,1,17,97,21,0.032448456,2.032448456,976.9445126,None,978.143574,None,979.1775171,None,983.1827959,None,983.1827959,None,j,983.1827959,None,983.8307998,None,0.592950083,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,1,18,98,60,0.032122079,2.032122079,986.2984509,None,986.6643381,None,987.6650514,None,991.6690458,None,991.6690458,None,j,991.6690458,None,992.3400675,None,0.608756074,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,1,19,99,50,0.032467195,2.032467195,994.8347729,None,996.0353814,None,997.0693258,None,1000.474989,None,1000.474989,None,f,1000.474989,None,1001.243542,None,0.719732112,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,1,20,100,14,0.032325944,2.032325944,1003.740394,None,1004.541296,None,1005.574678,None,1009.580717,None,1009.580717,None,f,1009.580717,None,1010.11054,None,0.459346306,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,left,,,,,1,21,101,37,0.032411335,2.032411335,1012.577508,None,1012.945363,None,1013.945589,None,1018.450307,None,1018.450307,None,f,1018.450307,None,1019.180454,None,0.657979992,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,1,22,102,49,0.032362784,2.032362784,1021.648905,None,1022.016072,None,1023.049449,None,1028.055304,None,1028.055304,None,f,1028.055304,None,1028.768588,None,0.669529801,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,1,23,103,4,0.032464977,2.032464977,1031.236573,None,1031.337647,None,1032.370572,None,1035.774177,None,1035.774177,None,f,1035.774177,None,1036.394539,None,0.569157079,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,1,24,104,46,0.032389277,2.032389277,1038.890782,None,1038.990889,None,1040.024349,None,1044.028505,None,1044.028505,None,f,1044.028505,None,1044.759505,None,0.653646189,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,1,25,105,54,0.032141733,2.032141733,1047.227302,None,1048.428195,None,1049.428138,None,1053.433901,None,1053.433901,None,j,1053.433901,None,1054.664959,None,1.157434594,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,1,26,106,78,0.032121542,2.032121542,1057.131905,None,1057.232562,None,1058.266031,None,1062.272293,None,1062.272293,None,f,1062.272293,None,1062.940357,None,0.613958678,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,1,27,107,58,0.0323859,2.0323859,1065.435964,None,1066.236235,None,1067.236391,None,1070.642478,None,1070.642478,None,f,1070.642478,None,1071.605065,None,0.912772274,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,left,,,,,1,28,108,38,0.03243693,2.03243693,1074.07242,None,1074.441454,None,1075.474469,None,1078.878195,None,1078.878195,None,f,1078.878195,None,1079.676539,None,0.739110392,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,1,29,109,30,0.032474541,2.032474541,1082.144103,None,1082.245279,None,1083.245114,None,1088.250015,None,1088.250015,None,j,1088.250015,None,1089.098074,None,0.802788505,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,1,30,110,77,0.032484517,2.032484517,1091.565655,None,1092.366651,None,1093.399141,None,1098.401578,None,1098.401578,None,j,1098.401578,None,1099.269138,None,0.820298478,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,1,31,111,3,0.03219522,2.03219522,1101.736963,None,1102.104147,None,1103.136504,None,1108.140678,None,1108.140678,None,f,1108.140678,None,1108.841793,None,0.66736127,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,1,32,112,41,0.032405928,2.032405928,1111.341492,None,1112.542268,None,1113.575658,None,1118.581345,None,1118.581345,None,f,1118.581345,None,1119.178211,None,0.555838406,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,1,33,113,8,0.032093049,2.032093049,1121.646708,None,1122.013859,None,1123.046643,None,1126.451938,None,1126.451938,None,f,1126.451938,None,1127.217817,None,0.728164237,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,1,34,114,73,0.032532997,2.032532997,1129.716871,None,1129.818391,None,1130.851023,None,1135.357238,None,1135.357238,None,j,1135.357238,None,1136.368608,None,0.952546985,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,1,35,115,75,0.032131329,2.032131329,1138.837232,None,1139.206498,None,1140.237738,None,1144.744983,None,1144.744983,None,j,1144.744983,None,1145.557888,None,0.749831047,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,1,36,116,22,0.03217312,2.03217312,1148.025033,None,1149.226845,None,1150.226523,None,1154.732901,None,1154.732901,None,j,1154.732901,None,1155.529822,None,0.732611361,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,1,37,117,55,0.032088314,2.032088314,1157.997385,None,1158.365956,None,1159.397814,None,1163.403565,None,1163.403565,None,j,1163.403565,None,1164.616967,None,1.166571674,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,1,38,118,66,0.032153882,2.032153882,1167.0848,None,1167.18661,None,1168.21866,None,1172.725393,None,1172.725393,None,j,1172.725393,None,1173.421002,None,0.626989968,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,1,39,119,1,0.032141001,2.032141001,1175.888857,None,1176.691656,None,1177.72317,None,1182.229734,None,1182.229734,None,f,1182.229734,None,1182.842212,None,0.55732492,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,1,40,120,13,0.032108095,2.032108095,1185.309892,None,1186.11276,None,1187.144155,None,1190.550585,None,1190.550585,None,f,1190.550585,None,1191.196234,None,0.58469379,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,1,41,121,31,0.032087106,2.032087106,1193.663852,None,1193.766385,None,1194.79781,None,1199.804953,None,1199.804953,None,j,1199.804953,None,1200.668684,None,0.799445753,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,1,42,122,9,0.032109592,2.032109592,1203.168631,None,1203.537674,None,1204.569086,None,1208.575578,None,1208.575578,None,f,1208.575578,None,1209.110442,None,0.463510069,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,1,43,123,12,0.032116511,2.032116511,1211.605867,None,1211.708434,None,1212.739775,None,1216.746427,None,1216.746427,None,f,1216.746427,None,1217.162118,None,0.364706707,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,1,44,124,0,0.032043345,2.032043345,1219.65959,None,1220.862525,None,1221.893876,None,1226.901047,None,1226.901047,None,j,1226.901047,None,1228.013452,None,1.043444992,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,1,45,125,45,0.03215981,2.03215981,1230.481502,None,1230.85035,None,1231.882096,None,1235.888614,None,1235.888614,None,j,1235.888614,None,1236.884492,None,0.951879528,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,1,46,126,23,0.032121117,2.032121117,1239.352256,None,1239.721677,None,1240.752826,None,1245.760051,None,1245.760051,None,j,1245.760051,None,1246.605758,None,0.776413727,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,1,47,127,52,0.032140602,2.032140602,1249.074016,None,1249.441846,None,1250.474263,None,1255.481298,None,1255.481298,None,f,1255.481298,None,1256.232756,None,0.703112423,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,1,48,128,61,0.032079715,2.032079715,1258.728217,None,1258.8302,None,1259.861975,None,1263.868754,None,1263.868754,None,j,1263.868754,None,1264.631009,None,0.699753246,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,1,49,129,70,0.032085058,2.032085058,1267.098899,None,1267.467508,None,1268.499492,None,1271.905774,None,1271.905774,None,j,1271.905774,None,1272.66822,None,0.694697008,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,1,50,130,28,0.032078396,2.032078396,1275.136008,None,1275.93848,None,1276.970102,None,1280.976664,None,1280.976664,None,j,1280.976664,None,1281.555769,None,0.535829393,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,1,51,131,5,0.032123857,2.032123857,1284.023469,None,1284.392785,None,1285.424016,None,1289.430218,None,1289.430218,None,f,1289.430218,None,1290.243167,None,0.762391955,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,right,,,,,1,52,132,34,0.032081335,2.032081335,1292.711073,None,1293.080196,None,1294.111589,None,1298.117836,None,1298.117836,None,j,1298.117836,None,1298.914007,None,0.738595425,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,1,53,133,62,0.032165582,2.032165582,1301.381574,None,1302.184176,None,1303.216042,None,1307.722818,None,1307.722818,None,j,1307.722818,None,1308.485195,None,0.693674678,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,right,,,,,1,54,134,33,0.032079642,2.032079642,1310.95296,None,1311.055052,None,1312.086781,None,1315.493124,None,1315.493124,None,j,1315.493124,None,1316.22209,None,0.667278827,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,1,55,135,27,0.03211583,2.03211583,1318.689861,None,1318.792218,None,1319.823874,None,1323.230028,None,1323.230028,None,j,1323.230028,None,1323.842446,None,0.538504804,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,1,56,136,47,0.032130492,2.032130492,1326.310205,None,1326.411986,None,1327.443994,None,1331.450455,None,1331.450455,None,f,1331.450455,None,1332.214555,None,0.69406873,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,1,57,137,17,0.032110039,2.032110039,1334.714088,None,1334.816638,None,1335.848011,None,1339.854307,None,1339.854307,None,j,1339.854307,None,1340.38391,None,0.45816814,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,1,58,138,59,0.032158556,2.032158556,1342.851456,None,1343.220171,None,1344.252006,None,1348.258496,None,1348.258496,None,f,1348.258496,None,1348.904319,None,0.600160736,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,1,59,139,56,0.032075341,2.032075341,1351.372118,None,1351.740885,None,1352.772845,None,1356.779425,None,1356.779425,None,f,1356.779425,None,1357.848391,None,1.024721726,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,1,60,140,24,0.032128568,2.032128568,1360.34295,None,1361.145823,None,1362.177308,None,1365.583519,None,1365.583519,None,j,1365.583519,None,1366.878534,None,1.232867429,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,right,,,,,1,61,141,32,0.032168698,2.032168698,1369.347297,None,1369.449636,None,1370.481135,None,1373.887267,None,1373.887267,None,j,1373.887267,None,1374.833352,None,0.90090551,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,1,62,142,18,0.032057329,2.032057329,1377.301199,None,1378.104013,None,1379.135256,None,1383.141934,None,1383.141934,None,j,1383.141934,None,1383.872203,None,0.672064436,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,left,,,,,1,63,143,36,0.032030082,2.032030082,1386.372134,None,1387.174666,None,1388.206327,None,1392.212825,None,1392.212825,None,f,1392.212825,None,1393.047052,None,0.765435682,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,1,64,144,42,0.032119718,2.032119718,1395.542949,None,1396.745471,None,1397.777395,None,1401.783144,None,1401.783144,None,f,1401.783144,None,1402.948233,None,1.12294647,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,1,65,145,2,0.032058273,2.032058273,1405.447841,None,1406.651186,None,1407.682117,None,1412.188811,None,1412.188811,None,f,1412.188811,None,1413.039924,None,0.807297033,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,1,66,146,7,0.032147025,2.032147025,1415.536312,None,1416.738833,None,1417.770349,None,1422.777417,None,1422.777417,None,f,1422.777417,None,1423.392664,None,0.570635274,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,left,,,,,1,67,147,39,0.032077959,2.032077959,1425.890804,None,1426.693344,None,1427.725052,None,1432.731639,None,1432.731639,None,None,1432.731639,None,1434.261357,None,,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,1,68,148,64,0.032233569,2.032233569,1436.695813,None,1437.498052,None,1438.530099,None,1443.537058,None,1443.537058,None,j,1443.537058,None,1444.070763,None,0.462050154,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,1,69,149,10,0.032110041,2.032110041,1446.567182,None,1446.936373,None,1447.967965,None,1451.374155,None,1451.374155,None,f,1451.374155,None,1452.175097,None,0.743859919,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,1,70,150,51,0.032081637,2.032081637,1454.670993,None,1454.77302,None,1455.804708,None,1460.812061,None,1460.812061,None,j,1460.812061,None,1461.878599,None,0.995726693,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,1,71,151,53,0.032077422,2.032077422,1464.375662,None,1464.744281,None,1465.776352,None,1469.182676,None,1469.182676,None,f,1469.182676,None,1470.015777,None,0.780827617,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,1,72,152,26,0.032074881,2.032074881,1472.512874,None,1473.315727,None,1474.347089,None,1478.353459,None,1478.353459,None,f,1478.353459,None,1479.666197,None,1.247689559,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,1,73,153,19,0.032106391,2.032106391,1482.134245,None,1482.935909,None,1483.968063,None,1488.473445,None,1488.473445,None,j,1488.473445,None,1489.103702,None,0.562798409,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,1,74,154,69,0.032338256,2.032338256,1491.571307,None,1492.373185,None,1493.371791,None,1496.777534,None,1496.777534,None,j,1496.777534,None,1497.491041,None,0.650598195,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,1,75,155,67,0.031929906,2.031929906,1499.959155,None,1500.060845,None,1501.092518,None,1506.098784,None,1506.098784,None,j,1506.098784,None,1506.795304,None,0.657376339,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,right,,,,,1,76,156,35,0.032132793,2.032132793,1509.263562,None,1510.466681,None,1511.497957,None,1514.904697,None,1514.904697,None,f,1514.904697,None,1515.970481,None,1.019493171,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,1,77,157,25,0.032100914,2.032100914,1518.468289,None,1518.837096,None,1519.868616,None,1523.875037,None,1523.875037,None,j,1523.875037,None,1524.63747,None,0.72116744,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,1,78,158,40,0.032060567,2.032060567,1527.105344,None,1528.305477,None,1529.306252,None,1534.313898,None,1534.313898,None,f,1534.313898,None,1534.992472,None,0.610265855,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,1,79,159,57,0.032110611,2.032110611,1537.460432,None,1537.828902,None,1538.861002,None,1542.867665,None,1542.867665,None,f,1542.867665,None,1543.896691,None,0.960512251,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9