condition,distSame,distDifferent
smaller,-123.1450911,-1.718317373
smaller,-71.58215453,4.818292744
smaller,-38.04438019,-8.450617292
smaller,-68.18677202,11.69126347
smaller,-19.86146855,8.209157551
smaller,-104.8564417,18.95213074
smaller,-59.03402368,-7.236055438
smaller,-30.74904271,-2.318238399
smaller,0.397057086,-1.587114739
smaller,-71.74522661,1.975762566
smaller,-18.42029389,7.597039726
smaller,-51.7304991,1.380262729
smaller,-21.58662724,6.355213377
smaller,-19.09453561,-6.592745029
smaller,18.67844693,-7.835476309
smaller,-41.16397759,-1.682109327
smaller,-6.349781513,-11.67392722
smaller,-5.415717063,-7.240640481
smaller,-49.21816108,6.848474576
smaller,20.39620093,-5.283608657
smaller,35.28426739,12.4604387
smaller,31.65681218,9.930528837
smaller,75.16335963,2.517252194
larger,-21.6332823,1.838585608
larger,-75.92314761,-5.242819133
larger,-18.51046928,-5.467716588
larger,-40.11746093,-11.86060739
larger,-75.21314491,-9.018236943
larger,-97.15336221,-11.16785351
larger,-76.4618438,-4.284072244
larger,49.87335307,-15.03161861
larger,117.9261988,-5.281659423
larger,-55.28268083,4.010877257
larger,-94.31982674,1.948023254
larger,-171.959983,16.30345313
larger,-138.8594181,-6.24565532
larger,57.02521286,-11.93979209
larger,-60.63163134,-1.824433543
larger,-64.90687318,3.440604418
larger,-44.42888137,3.384626355
larger,-164.7797401,-6.939963376
larger,38.3176856,8.79909475
larger,29.13113439,18.24755845